sample_id	run_aggregate	run_annotate	run_denovo	run_fetch	run_score
166	514.43	1446	169.37	153.91	72
167	424.72	1445	188.02	157.23	66
168	1100.98	1656	176.07	161.49	78
169	648.22	1257	169.17	174.69	76
170	693.74	1779	172.98	171.04	88
171	854.4	1356	175.74	165.15	103
172	2198.01	1574	172.72	163.44	124.5
173	553.81	1375	170.63	150.97	69
174	731.43	1492	182.25	159.91	70
175	506.51	1701	169.53	144.9	67
176	587.71	1297	175.38	162.59	70
177	3027.73	1253	172.72	146.08	105.5
178	536.34	1494	175.15	170.93	90
179	748.79	1715	195.78	142.16	76
180	805	1457	171.73	160.69	134.67
181	553.42	1581	175.7	169.49	76
182	668.21	1382	168.53	162.21	98
183	613.17	1416	169.48	162.02	65
184	410	1354	176.61	171.07	62
185	1097.67	1423	170.5	178.71	67
186	522.86	1369	171.6	148.36	72
187	1046.48	1352	173.74	150.93	91
188	1639.94	1298	169.84	171.47	68
189	674.64	1286	168.22	162.15	89
190	494.4	1486	171.35	144.88	69
191	575.17	1458	168.89	158.25	77
192	699.1	1818	173.05	165.31	65
193	1375.55	1390	181.18	171.44	64
194	820.67	1583	172.87	163.93	60
195	781.54	1421	182.2	159.95	72
196	57	1781	170.39	163.88	72
197	835.92	1511	170.98	160.18	108
198	625.17	1588	175.21	170.25	69
199	1715.35	1586	175.22	163.41	88
200	933.39	1749	170.95	155.49	72
201	757.24	1603	169.72	148.92	80
202	1298.02	1390	176.74	160.47	69
203	1746.26	1794	167.29	152.81	2
204	639.09	1211	170.97	142.15	56
205	552.85	1551	176.9	161.55	65
206	781.05	1669	185.11	162.67	88
207	1262.74	1635	169.4	146.54	109
208	776.77	1683	174.21	148.28	72
209	667.8	1685	172.48	177.83	72
210	1125.96	1655	174.52	157.07	123
211	679.42	1552	176.11	164.44	71
212	974	1339	176.32	160.11	80
213	1550.98	1797	170.81	160.28	90
214	692.28	1292	166.39	174.11	75
215	711.52	1473	174.31	171.32	74
216	1084.75	1671	169.62	125.2	70
217	859.65	1589	171.93	147.65	68
218	560.68	1665	175.59	152.31	68
219	1274.33	1664	170.94	163.43	72
220	501.09	1690	174.02	159.35	72
221	901	1830	170.42	170.21	102
222	556.29	1574	192.05	150.86	70
223	944.2	1522	173.21	186.42	76
224	903.85	1756	173.68	176.06	96
225	1038.12	1816	169.78	154.15	65
226	619.63	1656	174.63	172.01	89
227	1944.69	1536	176.01	169.46	78
228	1515.57	1418	177.02	159.85	75
229	908.4	1469	175.85	160.11	71
230	918.32	1600	169.13	155.6	67
231	1105.92	1408	173.72	160.81	65
232	803.91	1397	166.92	182.89	130
233	694.81	1439	174.73	163.79	68
234	592.43	1451	171.85	164.83	71
235	2549.98	1444	168.08	172.05	72
236	714.88	1566	184.7	145.75	69
237	1011.01	1627	178.46	146.58	72
238	584.27	1427	167.65	176.65	89
239	581.73	1613	170.16	154.86	74
240	577.92	1491	174.23	132.43	89
241	638.09	1622	170.75	172.22	74
242	560.47	1438	168.65	161.1	72
243	624.79	1536	172.04	177.67	70
244	503.07	1363	111	175.31	73
245	153.5	1332	168.04	130.4	73
246	510.11	1319	174.83	153.71	79
247	545.45	1530	170.82	166.38	78
248	1528.91	1607	170.24	153.72	69
249	757.07	1519	176.98	159.18	62
250	1484.62	1673	169.68	152.55	68
251	562.3	1552	169.73	166.78	88
252	388.69	1497	164	137.29	73
253	525.44	1564	172.28	152.18	74
254	454.61	1303	174.23	176.07	89
255	431.41	1583	174.86	174.55	44
256	494.83	1349	174.33	142.35	65
257	704.06	1397	167.64	154.55	72
258	404.71	1415	176.68	154.3	71
259	1697.91	1630	174.79	144.6	72
260	676.49	1469	172.26	182.8	76
261	404.77	1650	177.34	160.89	74
262	574	1470	170.77	164.36	79
263	634.2	1378	167	153.51	88
264	495.9	1349	170.91	149.05	88
265	563.29	1456	170.8	166.9	56
266	1103.56	1763	174.11	172.71	73
267	2070.41	1484	183.45	142.76	69
268	851.32	1570	169.14	138.11	6
269	540.65	1702	165.62	164.42	72
270	1525.92	1654	173.83	148.18	88
271	544.13	1681	169.76	163.5	71
272	590.69	1376	173.44	150.33	72
273	1233.15	1531	168.25	154.57	72
274	1090.24	1581	170.51	142.96	73
275	1237.9	1525	169.39	180.41	76
276	452.3	1611	176.84	154.34	108
277	444.35	1688	174.57	156.84	88
278	838.11	1375	174.39	150.61	80
279	701.91	1517	170.4	162.95	76
280	615.98	1516	169.09	173.41	74
281	787.17	1677	168.24	121.12	64
282	557.48	1674	172.16	151.72	66
283	556.12	1683	172.58	133	96
284	764.83	1629	170.41	158.03	75
285	833.91	1565	171.25	161.45	72
286	831.29	1449	172.32	160.28	69
287	668.12	1461	174.87	177.12	90
288	1008.49	1693	173.19	164.96	67
289	718.58	1655	170.07	167.09	107.5
290	1216.53	1612	190.87	138.58	69
291	919.5	1491	168.14	156.12	209
292	636.97	1632	173.38	137.1	107
293	784.86	2028	170.18	126.87	89
294	711.89	1210	169.31	168.56	78
295	579.05	1406	165.84	166.74	58
296	428	1422	176.31	155.9	96
297	741.54	1302	174.92	157.48	80
298	1052.13	1383	172.95	146.41	2
299	738.35	1356	171.89	161.13	58
300	820.94	1674	175.02	128.92	77
301	860.13	1513	175.1	144.78	74
302	696.8	1735	179.16	144.57	65
303	835.74	1357	168.67	145.19	78
304	618.24	1630	164.32	175.45	102
305	651.39	1662	174.87	155.51	72
306	1051.95	1402	174.39	154.84	67
307	896.61	1326	167.94	164.55	88
308	511.25	1287	172.26	182.5	107
309	1313.2	1162	168.1	151.79	96
310	529.49	1492	175.82	141.69	72
311	765	1746	169.35	174.81	89
312	1147.05	1509	183.67	176.53	76
313	1146.53	1597	167.44	154.52	80
314	741.39	1544	171.7	164.67	78
315	504.67	1457	169.16	154.89	74
316	516.52	1990	174.48	164.33	72
317	838.78	1648	168.63	161.68	79
318	905.21	1542	174	143.53	69
319	1258.42	1647	172.69	164.25	77
320	793.89	1595	168.54	170.38	107
321	1613.68	1351	177.36	167.62	68
322	670.88	1854	175.84	129.03	76
323	607.86	1514	174.19	170.04	72
324	1247.68	1336	171.33	163.58	79
325	1269.78	1762	169.83	153.61	88
326	686.81	1524	173.02	184.16	96
327	560.32	1681	174.49	164.88	73
328	492.44	1643	176.05	156.71	89
329	491.44	1584	175.02	150.6	76
330	630.33	1740	172.61	143.61	122.67
331	438.41	1350	169.94	154.02	79
332	580.12	1706	175.39	162.98	81
333	2403.21	1679	168.51	170.2	75
